tag	commit_date	toolchain	run	session	seconds	status
v4.7.2-stable	2026-06-07	go1.25.3	1	01a0aa19-1ecb-79f4-be6b-301079a565e5	210	ok
v4.7.2-stable	2026-06-07	go1.25.3	2	01a0aa1c-51a7-7121-bd32-8292859eea73	84	ok
v4.7.2-stable	2026-06-07	go1.25.3	3	01a0aa1d-9a0e-7a2d-ac45-0c6a11af78a5	84	ok
v4.7.3-stable	2026-06-11	go1.25.3	1	01a0aa1f-6899-7887-85ce-4c33ba2c3a34	100	ok
v4.7.3-stable	2026-06-11	go1.25.3	2	01a0aa20-ed8b-718e-84db-51cd3a771b10	83	ok
v4.7.3-stable	2026-06-11	go1.25.3	3	01a0aa22-336e-7085-b4b2-361eccdfe16b	86	ok
v4.7.4-stable	2026-07-14	go1.25.3	1	01a0aa24-08e3-7539-9fa5-96ee00074da0	95	ok
v4.7.4-stable	2026-07-14	go1.25.3	2	01a0aa25-7b6d-7ec0-9e15-576984dca65c	84	ok
v4.7.4-stable	2026-07-14	go1.25.3	3	01a0aa26-c160-7d8c-9888-82e3b8fafc38	84	ok
v5.0.0-stable	2026-08-10	go1.25.3	1	01a0aa28-9abe-7a48-938d-860a4b40608c	120	ok
v5.0.0-stable	2026-08-10	go1.25.3	2	01a0aa2a-6f76-762f-9341-650ff2362b7b	91	ok
v5.0.0-stable	2026-08-10	go1.25.3	3	01a0aa2b-d1fe-7bd9-826c-c5265372309b	89	ok
v5.0.1-stable	2026-08-26	go1.25.3	1	01a0aa2d-b4ab-7467-b2c7-8f473900a398	107	ok
v5.0.1-stable	2026-08-26	go1.25.3	2	01a0aa2f-56d4-73e8-989e-a0ccad984f7c	91	ok
v5.0.1-stable	2026-08-26	go1.25.3	3	01a0aa30-b9fd-771d-a68a-fa0cfea8dde4	91	ok
v5.0.2-stable	2026-09-11	go1.25.3	1	01a0aa32-a35c-7eae-9cbd-7108f93b8b1b	95	ok
v5.0.2-stable	2026-09-11	go1.25.3	2	01a0aa34-1843-7f00-b8f2-10907fefe92d	91	ok
v5.0.2-stable	2026-09-11	go1.25.3	3	01a0aa35-7b0c-77a5-a696-91595c304ecb	91	ok
